,Time,open,high,low,close,volume,open_return,close_return,open_logreturn,close_logreturn,X,X_diff_sub,X_diff_div
0,2024-01-01,42283.58,44184.1,42180.77,44179.55,27174.29903,0.0034003088255918712,0.04483939155577652,0.0033945408471109336,0.04386318131378095,44187,0.0,0.0
1,2024-01-02,44179.55,45879.63,44148.34,44946.91,65146.40661,0.04483939155577652,0.01736912213908925,0.04386318131378095,0.01722000317113513,44970,783.0,0.01772014393373622
2,2024-01-03,44946.91,45500.0,40750.0,42845.23,81194.55173,0.01736912213908925,-0.046759165424274995,0.01722000317113513,-0.04788769521256018,42865,-2105.0,-0.04680898376695575
3,2024-01-04,42845.23,44729.58,42613.77,44151.1,48038.06334,-0.046759165424274995,0.030478772082679805,-0.04788769521256018,0.03002352150755492,44186,1321.0,0.030817683424705367
4,2024-01-05,44151.1,44357.46,42450.0,44145.11,48075.25327,0.030478772082679805,-0.00013567045894661658,0.03002352150755492,-0.0001356796630157846,44184,-2.0,-4.526320554021357e-05
5,2024-01-06,44145.12,44214.42,43397.05,43968.32,17835.06144,-0.00013544396402345412,-0.0040047470716462336,-0.00013545313738545173,-0.004012787545087865,43999,-185.0,-0.004187036031142455
6,2024-01-07,43968.32,44480.59,43572.09,43929.02,23023.8508,-0.00400497269007317,-0.0008938253724500483,-0.004013014070718216,-0.000894225072540774,43944,-55.0,-0.0012500284097365366
7,2024-01-08,43929.01,47248.99,43175.0,46951.04,72814.57589,-0.0008940528089314687,0.06879324874536251,-0.0008944527125184745,0.06653020711240704,46995,3051.0,0.06942927362097207
8,2024-01-09,46951.04,47972.0,44748.67,46110.0,69927.66617,0.0687934920454615,-0.01791312822889548,0.0665304347523849,-0.018075510415030107,46124,-871.0,-0.01853388658367916
9,2024-01-10,46110.0,47695.93,44300.36,46653.99,89911.41203,-0.01791312822889548,0.011797657774886098,-0.018075510415030107,0.01172860796383382,46681,557.0,0.01207614257219669
10,2024-01-11,46654.0,48969.48,45606.06,46339.16,87470.3296,0.01179787464758187,-0.006748190240534507,0.011728822307750209,-0.006771062230729273,46360,-321.0,-0.006876459373192478
11,2024-01-12,46339.16,46515.53,41500.0,42782.73,86327.93707,-0.006748403137994524,-0.0767478305605885,-0.0067712765746456086,-0.0798528754667809,42778,-3582.0,-0.07726488352027605
12,2024-01-13,42782.74,43257.0,42436.12,42847.99,36118.47464,-0.07674761476038852,0.001525381853846044,-0.07985264172763361,0.0015242196406752171,42843,65.0,0.0015194726261162916
13,2024-01-14,42847.99,43079.0,41720.0,41732.35,28228.40894,0.001525147758184726,-0.02603716066961366,0.0015239859015280122,-0.02638212870563945,41715,-1128.0,-0.02632868846719416
14,2024-01-15,41732.35,43400.43,41718.05,42511.1,40269.89303,-0.02603716066961366,0.018660583456239586,-0.02638212870563945,0.01848861088034885,42493,778.0,0.018650365575932026
15,2024-01-16,42511.1,43578.01,42050.0,43137.95,45045.74589,0.018660583456239586,0.014745560571239007,0.01848861088034885,0.014637901828299413,43131,638.0,0.01501423763914067
16,2024-01-17,43137.94,43198.0,42200.69,42776.1,33266.21388,0.014745325338558725,-0.008388205744593764,0.01463767001382628,-0.008423584725432613,42738,-393.0,-0.009111775752938756
17,2024-01-18,42776.09,42930.0,40683.28,41327.5,43907.51641,-0.008388207689101654,-0.03386470482348785,-0.008423586686389413,-0.03445139745815894,41283,-1455.0,-0.034044644110627575
18,2024-01-19,41327.51,42196.86,40280.0,41659.03,48342.74559,-0.03386424518931007,0.00802201923658578,-0.03445092171312543,0.007990013891329613,41628,345.0,0.008356950802993923
19,2024-01-20,41659.03,41872.56,41456.3,41696.04,15923.99493,0.00802177532592689,0.0008884028264700844,0.007989771921725916,0.0008880084302503328,41673,45.0,0.0010810031709427292
20,2024-01-21,41696.05,41881.39,41500.98,41580.33,11730.16301,0.0008886428704653967,-0.0027750836770110334,0.000888248261150224,-0.002778941360300473,41560,-113.0,-0.002711587838648555
21,2024-01-22,41580.32,41689.65,39431.58,39568.02,55426.19911,-0.002775562673202934,-0.0483957198030897,-0.002779421689561224,-0.049606002668420156,39528,-2032.0,-0.04889316650625597
22,2024-01-23,39568.02,40176.74,38555.0,39897.6,57956.63351,-0.04839549094379271,0.00832945393780133,-0.049605762170059436,0.008294955472882228,39868,340.0,0.00860149767253593
